codigo;nome;periodo;carga;submercado
18;BARRA 18;8;54.37751853;1
19;BARRA 19;8;54.37751853;1
20;BARRA 20;8;54.37751853;1
21;BARRA 21;8;0;1
22;BARRA 22;8;0;1
23;BARRA 23;8;0;1
24;BARRA 24;8;0;1
1;BARRA 1;9;56.40845811;1
2;BARRA 2;9;56.40845811;1
3;BARRA 3;9;56.40845811;1
4;BARRA 4;9;56.40845811;1
5;BARRA 5;9;56.40845811;1
6;BARRA 6;9;56.40845811;1
7;BARRA 7;9;56.40845811;1
8;BARRA 8;9;56.40845811;1
9;BARRA 9;9;56.40845811;1
10;BARRA 10;9;56.40845811;1
11;BARRA 11;9;0;1
12;BARRA 12;9;0;1
13;BARRA 13;9;56.40845811;1
14;BARRA 14;9;56.40845811;1
15;BARRA 15;9;56.40845811;1
16;BARRA 16;9;56.40845811;1
17;BARRA 17;9;0;1
18;BARRA 18;9;56.40845811;1
19;BARRA 19;9;56.40845811;1
20;BARRA 20;9;56.40845811;1
21;BARRA 21;9;0;1
22;BARRA 22;9;0;1
23;BARRA 23;9;0;1
24;BARRA 24;9;0;1
1;BARRA 1;10;58.40864653;1
2;BARRA 2;10;58.40864653;1
3;BARRA 3;10;58.40864653;1
4;BARRA 4;10;58.40864653;1
5;BARRA 5;10;58.40864653;1
6;BARRA 6;10;58.40864653;1
7;BARRA 7;10;58.40864653;1
8;BARRA 8;10;58.40864653;1
9;BARRA 9;10;58.40864653;1
10;BARRA 10;10;58.40864653;1
11;BARRA 11;10;0;1
12;BARRA 12;10;0;1
13;BARRA 13;10;58.40864653;1
14;BARRA 14;10;58.40864653;1
15;BARRA 15;10;58.40864653;1
16;BARRA 16;10;58.40864653;1
17;BARRA 17;10;0;1
18;BARRA 18;10;58.40864653;1
19;BARRA 19;10;58.40864653;1
20;BARRA 20;10;58.40864653;1
21;BARRA 21;10;0;1
22;BARRA 22;10;0;1
23;BARRA 23;10;0;1
24;BARRA 24;10;0;1
1;BARRA 1;11;59.59632252;1
2;BARRA 2;11;59.59632252;1
3;BARRA 3;11;59.59632252;1
4;BARRA 4;11;59.59632252;1
5;BARRA 5;11;59.59632252;1
6;BARRA 6;11;59.59632252;1
7;BARRA 7;11;59.59632252;1
8;BARRA 8;11;59.59632252;1
9;BARRA 9;11;59.59632252;1
10;BARRA 10;11;59.59632252;1
11;BARRA 11;11;0;1
12;BARRA 12;11;0;1
13;BARRA 13;11;59.59632252;1
14;BARRA 14;11;59.59632252;1
15;BARRA 15;11;59.59632252;1
16;BARRA 16;11;59.59632252;1
17;BARRA 17;11;0;1
18;BARRA 18;11;59.59632252;1
19;BARRA 19;11;59.59632252;1
20;BARRA 20;11;59.59632252;1
21;BARRA 21;11;0;1
22;BARRA 22;11;0;1
23;BARRA 23;11;0;1
24;BARRA 24;11;0;1
1;BARRA 1;12;60.41430187;1
2;BARRA 2;12;60.41430187;1
3;BARRA 3;12;60.41430187;1
4;BARRA 4;12;60.41430187;1
5;BARRA 5;12;60.41430187;1
6;BARRA 6;12;60.41430187;1
7;BARRA 7;12;60.41430187;1
8;BARRA 8;12;60.41430187;1
9;BARRA 9;12;60.41430187;1
10;BARRA 10;12;60.41430187;1
11;BARRA 11;12;0;1
12;BARRA 12;12;0;1
13;BARRA 13;12;60.41430187;1
14;BARRA 14;12;60.41430187;1
15;BARRA 15;12;60.41430187;1
16;BARRA 16;12;60.41430187;1
17;BARRA 17;12;0;1
18;BARRA 18;12;60.41430187;1
19;BARRA 19;12;60.41430187;1
20;BARRA 20;12;60.41430187;1
21;BARRA 21;12;0;1
22;BARRA 22;12;0;1
23;BARRA 23;12;0;1
24;BARRA 24;12;0;1
1;BARRA 1;13;60.36100001;1
2;BARRA 2;13;60.36100001;1
3;BARRA 3;13;60.36100001;1
4;BARRA 4;13;60.36100001;1
5;BARRA 5;13;60.36100001;1
6;BARRA 6;13;60.36100001;1
7;BARRA 7;13;60.36100001;1
8;BARRA 8;13;60.36100001;1
9;BARRA 9;13;60.36100001;1
10;BARRA 10;13;60.36100001;1
11;BARRA 11;13;0;1
12;BARRA 12;13;0;1
13;BARRA 13;13;60.36100001;1
14;BARRA 14;13;60.36100001;1
15;BARRA 15;13;60.36100001;1
16;BARRA 16;13;60.36100001;1
17;BARRA 17;13;0;1
18;BARRA 18;13;60.36100001;1
19;BARRA 19;13;60.36100001;1
20;BARRA 20;13;60.36100001;1
21;BARRA 21;13;0;1
22;BARRA 22;13;0;1
23;BARRA 23;13;0;1
24;BARRA 24;13;0;1
1;BARRA 1;14;60.05417228;1
2;BARRA 2;14;60.05417228;1
3;BARRA 3;14;60.05417228;1
4;BARRA 4;14;60.05417228;1
5;BARRA 5;14;60.05417228;1
6;BARRA 6;14;60.05417228;1
7;BARRA 7;14;60.05417228;1
8;BARRA 8;14;60.05417228;1
9;BARRA 9;14;60.05417228;1
10;BARRA 10;14;60.05417228;1
11;BARRA 11;14;0;1
12;BARRA 12;14;0;1
13;BARRA 13;14;60.05417228;1
14;BARRA 14;14;60.05417228;1
15;BARRA 15;14;60.05417228;1
16;BARRA 16;14;60.05417228;1
17;BARRA 17;14;0;1
18;BARRA 18;14;60.05417228;1
19;BARRA 19;14;60.05417228;1
20;BARRA 20;14;60.05417228;1
21;BARRA 21;14;0;1
22;BARRA 22;14;0;1
23;BARRA 23;14;0;1
24;BARRA 24;14;0;1
1;BARRA 1;15;59.60520618;1
2;BARRA 2;15;59.60520618;1
3;BARRA 3;15;59.60520618;1
4;BARRA 4;15;59.60520618;1
5;BARRA 5;15;59.60520618;1
6;BARRA 6;15;59.60520618;1
7;BARRA 7;15;59.60520618;1
8;BARRA 8;15;59.60520618;1
9;BARRA 9;15;59.60520618;1
10;BARRA 10;15;59.60520618;1
11;BARRA 11;15;0;1
12;BARRA 12;15;0;1
13;BARRA 13;15;59.60520618;1
14;BARRA 14;15;59.60520618;1
15;BARRA 15;15;59.60520618;1
16;BARRA 16;15;59.60520618;1
17;BARRA 17;15;0;1
18;BARRA 18;15;59.60520618;1
19;BARRA 19;15;59.60520618;1
20;BARRA 20;15;59.60520618;1
21;BARRA 21;15;0;1
22;BARRA 22;15;0;1
23;BARRA 23;15;0;1
24;BARRA 24;15;0;1
1;BARRA 1;16;59.7220604;1
2;BARRA 2;16;59.7220604;1
3;BARRA 3;16;59.7220604;1
4;BARRA 4;16;59.7220604;1
5;BARRA 5;16;59.7220604;1
6;BARRA 6;16;59.7220604;1
7;BARRA 7;16;59.7220604;1
8;BARRA 8;16;59.7220604;1
9;BARRA 9;16;59.7220604;1
10;BARRA 10;16;59.7220604;1
11;BARRA 11;16;0;1
12;BARRA 12;16;0;1
13;BARRA 13;16;59.7220604;1
14;BARRA 14;16;59.7220604;1
15;BARRA 15;16;59.7220604;1
16;BARRA 16;16;59.7220604;1
17;BARRA 17;16;0;1
18;BARRA 18;16;59.7220604;1
19;BARRA 19;16;59.7220604;1
20;BARRA 20;16;59.7220604;1
21;BARRA 21;16;0;1
22;BARRA 22;16;0;1
23;BARRA 23;16;0;1
24;BARRA 24;16;0;1
1;BARRA 1;17;60.18332692;1
2;BARRA 2;17;60.18332692;1
3;BARRA 3;17;60.18332692;1
4;BARRA 4;17;60.18332692;1
5;BARRA 5;17;60.18332692;1
6;BARRA 6;17;60.18332692;1
7;BARRA 7;17;60.18332692;1
8;BARRA 8;17;60.18332692;1
9;BARRA 9;17;60.18332692;1
10;BARRA 10;17;60.18332692;1
11;BARRA 11;17;0;1
12;BARRA 12;17;0;1
13;BARRA 13;17;60.18332692;1
14;BARRA 14;17;60.18332692;1
15;BARRA 15;17;60.18332692;1
16;BARRA 16;17;60.18332692;1
17;BARRA 17;17;0;1
18;BARRA 18;17;60.18332692;1
19;BARRA 19;17;60.18332692;1
20;BARRA 20;17;60.18332692;1
21;BARRA 21;17;0;1
22;BARRA 22;17;0;1
23;BARRA 23;17;0;1
24;BARRA 24;17;0;1
1;BARRA 1;18;61.51314134;1
2;BARRA 2;18;61.51314134;1
3;BARRA 3;18;61.51314134;1
4;BARRA 4;18;61.51314134;1
5;BARRA 5;18;61.51314134;1
6;BARRA 6;18;61.51314134;1
7;BARRA 7;18;61.51314134;1
8;BARRA 8;18;61.51314134;1
9;BARRA 9;18;61.51314134;1
10;BARRA 10;18;61.51314134;1
11;BARRA 11;18;0;1
12;BARRA 12;18;0;1
13;BARRA 13;18;61.51314134;1
14;BARRA 14;18;61.51314134;1
15;BARRA 15;18;61.51314134;1
16;BARRA 16;18;61.51314134;1
17;BARRA 17;18;0;1
18;BARRA 18;18;61.51314134;1
19;BARRA 19;18;61.51314134;1
20;BARRA 20;18;61.51314134;1
21;BARRA 21;18;0;1
22;BARRA 22;18;0;1
23;BARRA 23;18;0;1
24;BARRA 24;18;0;1
1;BARRA 1;19;65.07001898;1
2;BARRA 2;19;65.07001898;1
3;BARRA 3;19;65.07001898;1
4;BARRA 4;19;65.07001898;1
5;BARRA 5;19;65.07001898;1
6;BARRA 6;19;65.07001898;1
7;BARRA 7;19;65.07001898;1
8;BARRA 8;19;65.07001898;1
9;BARRA 9;19;65.07001898;1
10;BARRA 10;19;65.07001898;1
11;BARRA 11;19;0;1
12;BARRA 12;19;0;1
13;BARRA 13;19;65.07001898;1
14;BARRA 14;19;65.07001898;1
15;BARRA 15;19;65.07001898;1
16;BARRA 16;19;65.07001898;1
17;BARRA 17;19;0;1
18;BARRA 18;19;65.07001898;1
19;BARRA 19;19;65.07001898;1
20;BARRA 20;19;65.07001898;1
21;BARRA 21;19;0;1
22;BARRA 22;19;0;1
23;BARRA 23;19;0;1
24;BARRA 24;19;0;1
1;BARRA 1;20;65.52923548;1
2;BARRA 2;20;65.52923548;1
3;BARRA 3;20;65.52923548;1
4;BARRA 4;20;65.52923548;1
5;BARRA 5;20;65.52923548;1
6;BARRA 6;20;65.52923548;1
7;BARRA 7;20;65.52923548;1
8;BARRA 8;20;65.52923548;1
9;BARRA 9;20;65.52923548;1
10;BARRA 10;20;65.52923548;1
11;BARRA 11;20;0;1
12;BARRA 12;20;0;1
13;BARRA 13;20;65.52923548;1
14;BARRA 14;20;65.52923548;1
15;BARRA 15;20;65.52923548;1
16;BARRA 16;20;65.52923548;1
17;BARRA 17;20;0;1
18;BARRA 18;20;65.52923548;1
19;BARRA 19;20;65.52923548;1
20;BARRA 20;20;65.52923548;1
21;BARRA 21;20;0;1
22;BARRA 22;20;0;1
23;BARRA 23;20;0;1
24;BARRA 24;20;0;1
1;BARRA 1;21;63.8946435;1
2;BARRA 2;21;63.8946435;1
3;BARRA 3;21;63.8946435;1
4;BARRA 4;21;63.8946435;1
5;BARRA 5;21;63.8946435;1
6;BARRA 6;21;63.8946435;1
7;BARRA 7;21;63.8946435;1
8;BARRA 8;21;63.8946435;1
9;BARRA 9;21;63.8946435;1
10;BARRA 10;21;63.8946435;1
11;BARRA 11;21;0;1
12;BARRA 12;21;0;1
13;BARRA 13;21;63.8946435;1
14;BARRA 14;21;63.8946435;1
15;BARRA 15;21;63.8946435;1
16;BARRA 16;21;63.8946435;1
17;BARRA 17;21;0;1
18;BARRA 18;21;63.8946435;1
19;BARRA 19;21;63.8946435;1
20;BARRA 20;21;63.8946435;1
21;BARRA 21;21;0;1
22;BARRA 22;21;0;1
23;BARRA 23;21;0;1
24;BARRA 24;21;0;1
1;BARRA 1;22;61.72019877;1
2;BARRA 2;22;61.72019877;1
3;BARRA 3;22;61.72019877;1
4;BARRA 4;22;61.72019877;1
5;BARRA 5;22;61.72019877;1
6;BARRA 6;22;61.72019877;1
7;BARRA 7;22;61.72019877;1
8;BARRA 8;22;61.72019877;1
9;BARRA 9;22;61.72019877;1
10;BARRA 10;22;61.72019877;1
11;BARRA 11;22;0;1
12;BARRA 12;22;0;1
13;BARRA 13;22;61.72019877;1
14;BARRA 14;22;61.72019877;1
15;BARRA 15;22;61.72019877;1
16;BARRA 16;22;61.72019877;1
17;BARRA 17;22;0;1
18;BARRA 18;22;61.72019877;1
19;BARRA 19;22;61.72019877;1
20;BARRA 20;22;61.72019877;1
21;BARRA 21;22;0;1
22;BARRA 22;22;0;1
23;BARRA 23;22;0;1
24;BARRA 24;22;0;1
1;BARRA 1;23;58.83506183;1
2;BARRA 2;23;58.83506183;1
3;BARRA 3;23;58.83506183;1
4;BARRA 4;23;58.83506183;1
5;BARRA 5;23;58.83506183;1
6;BARRA 6;23;58.83506183;1
7;BARRA 7;23;58.83506183;1
8;BARRA 8;23;58.83506183;1
9;BARRA 9;23;58.83506183;1
10;BARRA 10;23;58.83506183;1
11;BARRA 11;23;0;1
12;BARRA 12;23;0;1
13;BARRA 13;23;58.83506183;1
14;BARRA 14;23;58.83506183;1
15;BARRA 15;23;58.83506183;1
16;BARRA 16;23;58.83506183;1
17;BARRA 17;23;0;1
18;BARRA 18;23;58.83506183;1
19;BARRA 19;23;58.83506183;1
20;BARRA 20;23;58.83506183;1
21;BARRA 21;23;0;1
22;BARRA 22;23;0;1
23;BARRA 23;23;0;1
24;BARRA 24;23;0;1
1;BARRA 1;24;56.19866723;1
2;BARRA 2;24;56.19866723;1
3;BARRA 3;24;56.19866723;1
4;BARRA 4;24;56.19866723;1
5;BARRA 5;24;56.19866723;1
6;BARRA 6;24;56.19866723;1
7;BARRA 7;24;56.19866723;1
8;BARRA 8;24;56.19866723;1
9;BARRA 9;24;56.19866723;1
10;BARRA 10;24;56.19866723;1
11;BARRA 11;24;0;1
12;BARRA 12;24;0;1
13;BARRA 13;24;56.19866723;1
14;BARRA 14;24;56.19866723;1
15;BARRA 15;24;56.19866723;1
16;BARRA 16;24;56.19866723;1
17;BARRA 17;24;0;1
18;BARRA 18;24;56.19866723;1
19;BARRA 19;24;56.19866723;1
20;BARRA 20;24;56.19866723;1
21;BARRA 21;24;0;1
22;BARRA 22;24;0;1
23;BARRA 23;24;0;1
24;BARRA 24;24;0;1
1;BARRA 1;25;55.06224314;1
2;BARRA 2;25;55.06224314;1
3;BARRA 3;25;55.06224314;1
4;BARRA 4;25;55.06224314;1
5;BARRA 5;25;55.06224314;1
6;BARRA 6;25;55.06224314;1
7;BARRA 7;25;55.06224314;1
8;BARRA 8;25;55.06224314;1
9;BARRA 9;25;55.06224314;1
10;BARRA 10;25;55.06224314;1
11;BARRA 11;25;0;1
12;BARRA 12;25;0;1
13;BARRA 13;25;55.06224314;1
14;BARRA 14;25;55.06224314;1
15;BARRA 15;25;55.06224314;1
16;BARRA 16;25;55.06224314;1
17;BARRA 17;25;0;1
18;BARRA 18;25;55.06224314;1
19;BARRA 19;25;55.06224314;1
20;BARRA 20;25;55.06224314;1
21;BARRA 21;25;0;1
22;BARRA 22;25;0;1
23;BARRA 23;25;0;1
24;BARRA 24;25;0;1
1;BARRA 1;26;52.6151386;1
2;BARRA 2;26;52.6151386;1
3;BARRA 3;26;52.6151386;1
4;BARRA 4;26;52.6151386;1
5;BARRA 5;26;52.6151386;1
6;BARRA 6;26;52.6151386;1
7;BARRA 7;26;52.6151386;1
8;BARRA 8;26;52.6151386;1
9;BARRA 9;26;52.6151386;1
10;BARRA 10;26;52.6151386;1
11;BARRA 11;26;0;1
12;BARRA 12;26;0;1
13;BARRA 13;26;52.6151386;1
14;BARRA 14;26;52.6151386;1
15;BARRA 15;26;52.6151386;1
16;BARRA 16;26;52.6151386;1
17;BARRA 17;26;0;1
18;BARRA 18;26;52.6151386;1
19;BARRA 19;26;52.6151386;1
20;BARRA 20;26;52.6151386;1
21;BARRA 21;26;0;1
22;BARRA 22;26;0;1
23;BARRA 23;26;0;1
24;BARRA 24;26;0;1
1;BARRA 1;27;50.67098547;1
2;BARRA 2;27;50.67098547;1
3;BARRA 3;27;50.67098547;1
4;BARRA 4;27;50.67098547;1
5;BARRA 5;27;50.67098547;1
6;BARRA 6;27;50.67098547;1
7;BARRA 7;27;50.67098547;1
8;BARRA 8;27;50.67098547;1
9;BARRA 9;27;50.67098547;1
10;BARRA 10;27;50.67098547;1
11;BARRA 11;27;0;1
12;BARRA 12;27;0;1
13;BARRA 13;27;50.67098547;1
14;BARRA 14;27;50.67098547;1
15;BARRA 15;27;50.67098547;1
16;BARRA 16;27;50.67098547;1
17;BARRA 17;27;0;1
18;BARRA 18;27;50.67098547;1
19;BARRA 19;27;50.67098547;1
20;BARRA 20;27;50.67098547;1
21;BARRA 21;27;0;1
22;BARRA 22;27;0;1
23;BARRA 23;27;0;1
24;BARRA 24;27;0;1
1;BARRA 1;28;49.22363352;1
2;BARRA 2;28;49.22363352;1
3;BARRA 3;28;49.22363352;1
4;BARRA 4;28;49.22363352;1
5;BARRA 5;28;49.22363352;1
6;BARRA 6;28;49.22363352;1
7;BARRA 7;28;49.22363352;1
8;BARRA 8;28;49.22363352;1
9;BARRA 9;28;49.22363352;1
10;BARRA 10;28;49.22363352;1
11;BARRA 11;28;0;1
12;BARRA 12;28;0;1
13;BARRA 13;28;49.22363352;1
14;BARRA 14;28;49.22363352;1
15;BARRA 15;28;49.22363352;1
16;BARRA 16;28;49.22363352;1
17;BARRA 17;28;0;1
18;BARRA 18;28;49.22363352;1
19;BARRA 19;28;49.22363352;1
20;BARRA 20;28;49.22363352;1
21;BARRA 21;28;0;1
22;BARRA 22;28;0;1
23;BARRA 23;28;0;1
24;BARRA 24;28;0;1
1;BARRA 1;29;48.58401053;1
2;BARRA 2;29;48.58401053;1
3;BARRA 3;29;48.58401053;1
4;BARRA 4;29;48.58401053;1
5;BARRA 5;29;48.58401053;1
6;BARRA 6;29;48.58401053;1
7;BARRA 7;29;48.58401053;1
8;BARRA 8;29;48.58401053;1
9;BARRA 9;29;48.58401053;1
10;BARRA 10;29;48.58401053;1
11;BARRA 11;29;0;1
12;BARRA 12;29;0;1
13;BARRA 13;29;48.58401053;1
14;BARRA 14;29;48.58401053;1
15;BARRA 15;29;48.58401053;1
16;BARRA 16;29;48.58401053;1
17;BARRA 17;29;0;1
18;BARRA 18;29;48.58401053;1
19;BARRA 19;29;48.58401053;1
20;BARRA 20;29;48.58401053;1
21;BARRA 21;29;0;1
22;BARRA 22;29;0;1
23;BARRA 23;29;0;1
24;BARRA 24;29;0;1
1;BARRA 1;30;48.16169542;1
2;BARRA 2;30;48.16169542;1
3;BARRA 3;30;48.16169542;1
4;BARRA 4;30;48.16169542;1
5;BARRA 5;30;48.16169542;1
6;BARRA 6;30;48.16169542;1
7;BARRA 7;30;48.16169542;1
8;BARRA 8;30;48.16169542;1
9;BARRA 9;30;48.16169542;1
10;BARRA 10;30;48.16169542;1
11;BARRA 11;30;0;1
12;BARRA 12;30;0;1
13;BARRA 13;30;48.16169542;1
14;BARRA 14;30;48.16169542;1
15;BARRA 15;30;48.16169542;1
16;BARRA 16;30;48.16169542;1
17;BARRA 17;30;0;1
18;BARRA 18;30;48.16169542;1
19;BARRA 19;30;48.16169542;1
20;BARRA 20;30;48.16169542;1
21;BARRA 21;30;0;1
22;BARRA 22;30;0;1
23;BARRA 23;30;0;1
24;BARRA 24;30;0;1
1;BARRA 1;31;47.24599588;1
2;BARRA 2;31;47.24599588;1
3;BARRA 3;31;47.24599588;1
4;BARRA 4;31;47.24599588;1
5;BARRA 5;31;47.24599588;1
6;BARRA 6;31;47.24599588;1
7;BARRA 7;31;47.24599588;1
8;BARRA 8;31;47.24599588;1
9;BARRA 9;31;47.24599588;1
10;BARRA 10;31;47.24599588;1
11;BARRA 11;31;0;1
12;BARRA 12;31;0;1
13;BARRA 13;31;47.24599588;1
14;BARRA 14;31;47.24599588;1
15;BARRA 15;31;47.24599588;1
16;BARRA 16;31;47.24599588;1
17;BARRA 17;31;0;1
18;BARRA 18;31;47.24599588;1
19;BARRA 19;31;47.24599588;1
20;BARRA 20;31;47.24599588;1
21;BARRA 21;31;0;1
22;BARRA 22;31;0;1
23;BARRA 23;31;0;1
24;BARRA 24;31;0;1
1;BARRA 1;32;47.69632874;1
2;BARRA 2;32;47.69632874;1
3;BARRA 3;32;47.69632874;1
4;BARRA 4;32;47.69632874;1
5;BARRA 5;32;47.69632874;1
6;BARRA 6;32;47.69632874;1
7;BARRA 7;32;47.69632874;1
8;BARRA 8;32;47.69632874;1
9;BARRA 9;32;47.69632874;1
10;BARRA 10;32;47.69632874;1
11;BARRA 11;32;0;1
12;BARRA 12;32;0;1
13;BARRA 13;32;47.69632874;1
14;BARRA 14;32;47.69632874;1
15;BARRA 15;32;47.69632874;1
16;BARRA 16;32;47.69632874;1
17;BARRA 17;32;0;1
18;BARRA 18;32;47.69632874;1
19;BARRA 19;32;47.69632874;1
20;BARRA 20;32;47.69632874;1
21;BARRA 21;32;0;1
22;BARRA 22;32;0;1
23;BARRA 23;32;0;1
24;BARRA 24;32;0;1
1;BARRA 1;33;49.31041998;1
2;BARRA 2;33;49.31041998;1
3;BARRA 3;33;49.31041998;1
4;BARRA 4;33;49.31041998;1
5;BARRA 5;33;49.31041998;1
6;BARRA 6;33;49.31041998;1
7;BARRA 7;33;49.31041998;1
8;BARRA 8;33;49.31041998;1
9;BARRA 9;33;49.31041998;1
10;BARRA 10;33;49.31041998;1
11;BARRA 11;33;0;1
12;BARRA 12;33;0;1
13;BARRA 13;33;49.31041998;1
14;BARRA 14;33;49.31041998;1
